k,p,lambda2_mean,lambda2_sem,clustering_mean,clustering_sem,pathlen_mean,pathlen_sem,degvar_mean,degvar_sem,delta_mean,delta_sem,tstar_mean,tstar_sem,plateau_mean,plateau_sem
4,0.0,0.019717140514500874,7.959457186074219e-19,0.5,0.0,12.878787878787879,0.0,0.0,0.0,0.6535626187991193,0.00744523783619272,5.3,0.3086473033978052,0.10105086834964375,0.0023612439796868163
4,0.01,0.02166572894470504,0.0010530063585364824,0.4910500000000001,0.001928589916059786,11.112020202020203,0.3675550816330118,0.026000000000000002,0.005821918656431509,0.6069531801422019,0.016866620189543085,6.3,0.3410510071436298,0.09165272977800104,0.004693704814668351
4,0.03,0.044226625618398095,0.0041424702582260825,0.45765,0.004037867177734952,7.379050505050506,0.28198383089737106,0.12200000000000003,0.01045290188869755,0.43200607245347167,0.022012320144958197,6.85,0.9848189788243479,0.06259455148069007,0.0032912867862039084
4,0.05,0.06506444276117207,0.00557260897020735,0.43905476190476184,0.004446008567562375,6.372929292929293,0.14390121246677887,0.17900000000000005,0.012771267092888425,0.3622268053954835,0.018634841319677693,16.55,9.769306121995724,0.053758805232620575,0.0015463659811242785
4,0.1,0.11462838472392387,0.006439002785316557,0.3675428571428571,0.0052665454309014465,4.990393939393939,0.05604703481962578,0.4160000000000001,0.01867167852517198,0.20073903626954887,0.010391047964472173,97.1,35.995533348634126,0.03973546488983911,0.0006684381564789537
4,0.2,0.21799535222187144,0.009031268016276918,0.2831166666666666,0.004837466256501466,4.241606060606061,0.031169282439301456,0.743,0.02568124443615366,0.14587427235643627,0.007061078376601707,253.45,38.166634298614944,0.032873811654790225,0.00034910920112191064
4,0.3,0.3233200622471576,0.014485331976879297,0.18982976190476192,0.00495334699796785,3.831707070707071,0.018047304859166485,1.051,0.026416701256272667,0.1266880060521201,0.004208150409871854,249.9,29.035450201797325,0.02881210881256453,0.0001574723695336435
4,0.4,0.4516041369166201,0.0152280513184188,0.12674761904761905,0.004960450878740382,3.6664040404040406,0.015080422259803208,1.251,0.03504808726667735,0.1300028257551503,0.004334389481669022,209.4,27.68311284595909,0.027508303594332723,0.00016366888560326293
4,0.5,0.5051304999507233,0.013150651459884661,0.09361309523809523,0.004438117284207102,3.5676161616161615,0.010097108230965471,1.54,0.04182671017675819,0.12445427877570721,0.003628813862736374,186.65,35.06342186141534,0.026619316292219364,8.976667736782541e-05
4,0.7,0.5731444841951735,0.011387273084474908,0.04406944444444444,0.004021771157919715,3.4638787878787882,0.008011017067781465,1.859,0.05569607375371218,0.11653318522228824,0.0032025441093318156,221.9,25.84069617768392,0.02589447547726419,7.002776765291163e-05
4,0.9,0.5750973748797239,0.008437208858600479,0.03615277777777778,0.0033875256676689806,3.4456666666666664,0.005766820133936153,2.049,0.05314280661328344,0.11841557529276947,0.003195890887905361,251.6,33.11609562544601,0.025750466590427706,4.801811286253566e-05
4,1.0,0.5916550484219227,0.008486525300682442,0.03141031746031746,0.0021883027958945725,3.451020202020202,0.0052477276375991625,1.9119999999999997,0.03987876364023444,0.11292840058848803,0.003410785302838579,292.35,35.38601232720426,0.025697729571313544,9.00858530777968e-05
