k,p,t,variance_mean,sem_total,sem_network,sem_runs
12,0.0,0,0.08248081709997644,0.00024847440324574744,0.0002300988865709009,0.00024847440324574744
12,0.0,1,0.050651614362516244,0.00025559122250936445,0.00025559122250936445,0.00024323376698726838
12,0.0,2,0.03690034331093048,0.00023275677655002066,0.00023275677655002066,0.0002289099618841272
12,0.0,3,0.030718724605308736,0.0002363155980595036,0.0002363155980595036,0.0002084217720934977
12,0.0,4,0.027943811192733713,0.00020410240260816022,0.00020410240260816022,0.00019719880417893126
12,0.0,5,0.02650746856786477,0.00019742380025631142,0.0001974238002563114,0.0001948869102682036
12,0.0,6,0.02600778385220072,0.000196673503405102,0.00019550630715087168,0.000196673503405102
12,0.0,7,0.025911138920710043,0.00019341447372947933,0.00017776989698835519,0.00019341447372947933
12,0.0,8,0.025692966544306355,0.00019319145959160287,0.00018771570019227092,0.00019319145959160287
12,0.0,9,0.026014990728222543,0.00020734674662509613,0.00019630625809811361,0.00020734674662509613
12,0.0,10,0.02606096929407709,0.00024120793348489952,0.00024120793348489952,0.00021174627094320303
12,0.0,11,0.02635328762688298,0.00024957619717371024,0.00024957619717371024,0.00021075038652907424
12,0.0,12,0.026548948267243227,0.0002606641686191179,0.0002606641686191179,0.0002150271828454503
12,0.0,13,0.026421919920391244,0.0002479425941625248,0.0002479425941625248,0.00021184860042735475
12,0.0,14,0.02637544235250108,0.00023311212519298673,0.00023311212519298673,0.00021992519643588594
12,0.0,15,0.026573461459372054,0.00024240233562837932,0.00024240233562837932,0.00021912908555874445
12,0.0,16,0.02720685952666456,0.00025788366119555353,0.0002578836611955535,0.0002287459576997428
12,0.0,17,0.02733801881126613,0.00024559028085764504,0.00024559028085764504,0.0002326367000255819
12,0.0,18,0.027499989967166096,0.0002354802503211076,0.00021727556281342427,0.0002354802503211076
12,0.0,19,0.027748829971770163,0.0002777709752562663,0.0002777709752562663,0.00024451856237246077
12,0.0,20,0.02795877044405479,0.00026024045874753254,0.00026024045874753254,0.00024756533901978793
12,0.0,21,0.02818119984852322,0.000259254781339851,0.00025925478133985094,0.00024983589084318986
12,0.0,22,0.028257987154207163,0.0002527812245421982,0.00024747597704901096,0.0002527812245421982
12,0.0,23,0.028119059311001133,0.0002536840049918244,0.00023188598807730816,0.0002536840049918244
12,0.0,24,0.028197420581122977,0.0002531770840310621,0.00021027745434228082,0.0002531770840310621
12,0.0,25,0.0283300238689656,0.00025674593389056607,0.0002423154165103944,0.00025674593389056607
12,0.0,26,0.02832391299808014,0.00026259382541574263,0.0002433967591266497,0.00026259382541574263
12,0.0,27,0.02845598314875192,0.00027246667380373754,0.0002624475639815045,0.00027246667380373754
12,0.0,28,0.028595453785528264,0.00028499788489449134,0.0002582782251455642,0.00028499788489449134
12,0.0,29,0.028684916890489773,0.00028045915875532594,0.00024187504370038674,0.00028045915875532594
12,0.0,30,0.028689027789709824,0.00028491651910076993,0.0002725417357791212,0.00028491651910076993
12,0.0,31,0.02877506825035008,0.0002874003100329182,0.00025186803780134873,0.0002874003100329182
12,0.0,32,0.028955793967113373,0.00028707787149545583,0.00028400700809069697,0.00028707787149545583
12,0.0,33,0.028841235258185268,0.0003025290896684276,0.0003025290896684276,0.00028947838136445176
12,0.0,34,0.02909803400900011,0.0003086443017495789,0.00030864430174957884,0.0002947690613574235
12,0.0,35,0.02917883508216579,0.00030259353633283614,0.00027067467200608857,0.00030259353633283614
12,0.0,36,0.029209360872773597,0.0003025867770890293,0.0002956055912860819,0.0003025867770890293
12,0.0,37,0.02935480638336572,0.0003015322356818276,0.00026921738301667223,0.0003015322356818276
12,0.0,38,0.029362287198488206,0.0003003425254102882,0.00029113934971879786,0.0003003425254102882
12,0.0,39,0.02945063124623528,0.0003005628413509984,0.0002708213932494578,0.0003005628413509984
12,0.0,40,0.029694968886693922,0.00030460197025178494,0.00025965428660487916,0.00030460197025178494
12,0.0,41,0.029764736928666505,0.00029919447983942435,0.00025275666323667145,0.00029919447983942435
12,0.0,42,0.02984487780763428,0.00030934024005517524,0.0002383112277988116,0.00030934024005517524
12,0.0,43,0.03010511337574684,0.00031646776408327995,0.00027436881206354134,0.00031646776408327995
12,0.0,44,0.03006734071170444,0.00031461175625443653,0.000282391938753562,0.00031461175625443653
12,0.0,45,0.02991890795156822,0.00032694439592441204,0.00031393615357100716,0.00032694439592441204
12,0.0,46,0.030071693240898364,0.00032821564124644914,0.00032393234941101605,0.00032821564124644914
12,0.0,47,0.030122611757430993,0.0003599187098155325,0.0003599187098155325,0.00032379869561985613
12,0.0,48,0.030118490864159117,0.00035282859844636876,0.00035282859844636876,0.0003254335396358022
12,0.0,49,0.030187758820720705,0.0003415412022998333,0.0003415412022998333,0.00032802084511640334
12,0.0,50,0.03048583630035419,0.0003583311574780719,0.0003583311574780719,0.0003192147997904615
